CustomerKey,FirstName,LastName,FullName,Age,Gender,FirstPurchaseDate,City,Country
11000,Jon,Yang,Jon Yang,54,Male,19-01-2022,Rockhampton,Australia
11001,Eugene,Huang,Eugene Huang,49,Male,15-01-2022,Seaford,Australia
11002,Ruben,Torres,Ruben Torres,54,Male,07-01-2022,Hobart,Australia
11003,Christy,Zhu,Christy Zhu,52,Female,29-12-2021,North Ryde,Australia
11004,Elizabeth,Johnson,Elizabeth Johnson,46,Female,23-01-2022,Wollongong,Australia
11005,Julio,Ruiz,Julio Ruiz,49,Male,30-12-2021,East Brisbane,Australia
11006,Janet,Alvarez,Janet Alvarez,49,Female,24-01-2022,Matraville,Australia
11007,Marco,Mehta,Marco Mehta,56,Male,09-01-2022,Warrnambool,Australia
11008,Rob,Verhoff,Rob Verhoff,50,Female,25-01-2022,Bendigo,Australia
11009,Shannon,Carlson,Shannon Carlson,56,Male,27-01-2022,Hervey Bay,Australia
11010,Jacquelyn,Suarez,Jacquelyn Suarez,56,Female,14-01-2022,East Brisbane,Australia
11011,Curtis,Lu,Curtis Lu,56,Male,30-12-2021,East Brisbane,Australia
11012,Lauren,Walker,Lauren Walker,46,Female,16-03-2024,Bremerton,United States
11013,Ian,Jenkins,Ian Jenkins,46,Male,13-04-2024,Lebanon,United States
11014,Sydney,Bennett,Sydney Bennett,52,Female,23-03-2024,Redmond,United States
11015,Chloe,Young,Chloe Young,41,Female,18-01-2024,Burbank,United States
11016,Wyatt,Hill,Wyatt Hill,41,Male,09-02-2024,Imperial Beach,United States
11017,Shannon,Wang,Shannon Wang,76,Female,12-01-2022,Sunbury,Australia
11018,Clarence,Rai,Clarence Rai,70,Male,17-01-2022,Bendigo,Australia
11019,Luke,Lal,Luke Lal,42,Male,12-02-2024,Langley,Canada
11020,Jordan,King,Jordan King,41,Male,29-12-2023,Metchosin,Canada
11021,Destiny,Wilson,Destiny Wilson,41,Female,23-01-2024,Beaverton,United States
11022,Ethan,Zhang,Ethan Zhang,41,Male,20-01-2024,Bellingham,United States
11023,Seth,Edwards,Seth Edwards,41,Male,17-02-2024,Bellflower,United States
11024,Russell,Xie,Russell Xie,41,Male,27-06-2024,Concord,United States
11025,Alejandro,Beck,Alejandro Beck,74,Male,06-01-2022,Hawthorne,Australia
11026,Harold,Sai,Harold Sai,74,Male,23-01-2022,Goulburn,Australia
11027,Jessie,Zhao,Jessie Zhao,73,Male,16-01-2022,Warrnambool,Australia
11028,Jill,Jimenez,Jill Jimenez,74,Female,26-01-2022,St. Leonards,Australia
11029,Jimmy,Moreno,Jimmy Moreno,73,Male,19-01-2022,Bendigo,Australia
11030,Bethany,Yuan,Bethany Yuan,67,Female,05-02-2022,Cloverdale,Australia
11031,Theresa,Ramos,Theresa Ramos,72,Female,01-02-2022,Matraville,Australia
11032,Denise,Stone,Denise Stone,73,Female,18-02-2022,Melbourne,Australia
11033,Jaime,Nath,Jaime Nath,67,Male,15-02-2022,Milsons Point,Australia
11034,Ebony,Gonzalez,Ebony Gonzalez,73,Female,01-02-2022,North Sydney,Australia
11035,Wendy,Dominguez,Wendy Dominguez,72,Female,06-02-2022,Cranbourne,Australia
11036,Jennifer,Russell,Jennifer Russell,41,Female,22-01-2024,National City,United States
11037,Chloe,Garcia,Chloe Garcia,42,Female,20-01-2024,Cliffside,Canada
11038,Diana,Hernandez,Diana Hernandez,72,Female,07-02-2022,Lavender Bay,Australia
11039,Marc,Martin,Marc Martin,71,Male,07-02-2022,Wollongong,Australia
11040,Jesse,Murphy,Jesse Murphy,42,Male,03-04-2024,Tacoma,United States
11041,Amanda,Carter,Amanda Carter,42,Female,14-01-2024,Glendale,United States
11042,Megan,Sanchez,Megan Sanchez,43,Female,21-01-2024,Los Angeles,United States
11043,Nathan,Simmons,Nathan Simmons,44,Male,08-05-2024,Glendale,United States
11044,Adam,Flores,Adam Flores,71,Male,28-02-2022,Hervey Bay,Australia
11045,Leonard,Nara,Leonard Nara,70,Male,10-04-2024,Matraville,Australia
11046,Christine,Yuan,Christine Yuan,70,Female,06-02-2022,Lavender Bay,Australia
11047,Jaclyn,Lu,Jaclyn Lu,70,Female,03-02-2022,Geelong,Australia
11048,Jeremy,Powell,Jeremy Powell,69,Male,10-02-2022,Sunbury,Australia
11049,Carol,Rai,Carol Rai,39,Female,09-03-2024,Chula Vista,United States
11050,Alan,Zheng,Alan Zheng,68,Male,20-02-2022,Hobart,Australia
11051,Daniel,Johnson,Daniel Johnson,68,Male,29-12-2024,Caloundra,Australia
11052,Heidi,Lopez,Heidi Lopez,68,Female,17-02-2022,Matraville,Australia
11053,Ana,Price,Ana Price,39,Female,17-01-2024,San Diego,United States
11054,Deanna,Munoz,Deanna Munoz,68,Female,03-02-2022,Geelong,Australia
11055,Gilbert,Raje,Gilbert Raje,68,Male,31-01-2022,East Brisbane,Australia
11056,Michele,Nath,Michele Nath,67,Female,26-02-2022,Newcastle,Australia
11057,Carl,Andersen,Carl Andersen,55,Male,22-02-2022,Lane Cove,Australia
11058,Marc,Diaz,Marc Diaz,60,Male,09-03-2022,Findon,Australia
11059,Ashlee,Andersen,Ashlee Andersen,66,Female,18-02-2024,Townsville,Australia
11060,Jon,Zhou,Jon Zhou,66,Male,19-03-2022,Warrnambool,Australia
11061,Todd,Gao,Todd Gao,49,Male,13-03-2022,Gold Coast,Australia
11062,Noah,Powell,Noah Powell,44,Male,07-01-2024,Portland,United States
11063,Angela,Murphy,Angela Murphy,45,Female,12-01-2024,Redmond,United States
11064,Chase,Reed,Chase Reed,44,Male,25-01-2024,Downey,United States
11065,Jessica,Henderson,Jessica Henderson,46,Female,10-02-2024,La Jolla,United States
11066,Grace,Butler,Grace Butler,46,Female,31-05-2024,Lebanon,United States
11067,Caleb,Carter,Caleb Carter,43,Male,18-08-2024,Port Orchard,United States
11068,Tiffany,Liang,Tiffany Liang,59,Female,30-04-2024,Warrnambool,Australia
11069,Carolyn,Navarro,Carolyn Navarro,59,Female,17-04-2022,Gold Coast,Australia
11070,Willie,Raji,Willie Raji,65,Male,28-04-2022,Sunbury,Australia
11071,Linda,Serrano,Linda Serrano,65,Female,01-03-2024,Hawthorne,Australia
11072,Casey,Luo,Casey Luo,65,Female,31-03-2022,St. Leonards,Australia
11073,Amy,Ye,Amy Ye,63,Female,23-03-2024,Springwood,Australia
11074,Levi,Arun,Levi Arun,63,Male,23-03-2024,Cloverdale,Australia
11075,Felicia,Jimenez,Felicia Jimenez,62,Female,28-04-2022,Bendigo,Australia
11076,Blake,Anderson,Blake Anderson,62,Male,21-04-2022,Wollongong,Australia
11077,Leah,Ye,Leah Ye,62,Female,15-04-2022,Melton,Australia
11078,Gina,Martin,Gina Martin,40,Female,15-02-2024,Cliffside,Canada
11079,Donald,Gonzalez,Donald Gonzalez,55,Male,15-03-2024,Geelong,Australia
11080,Damien,Chander,Damien Chander,60,Male,10-04-2022,Perth,Australia
11081,Savannah,Baker,Savannah Baker,53,Female,12-02-2024,Concord,United States
11082,Angela,Butler,Angela Butler,53,Female,22-01-2024,Fremont,United States
11083,Alyssa,Cox,Alyssa Cox,48,Female,06-01-2024,Lincoln Acres,United States
11084,Lucas,Phillips,Lucas Phillips,62,Male,04-01-2024,Lebanon,United States
11085,Emily,Johnson,Emily Johnson,62,Female,06-12-2024,Newport Beach,United States
11086,Ryan,Brown,Ryan Brown,62,Male,02-07-2024,Santa Monica,United States
11087,Tamara,Liang,Tamara Liang,62,Female,25-02-2024,Chula Vista,United States
11088,Hunter,Davis,Hunter Davis,62,Male,13-01-2024,San Diego,United States
11089,Abigail,Price,Abigail Price,63,Female,29-12-2023,Long Beach,United States
11090,Trevor,Bryant,Trevor Bryant,57,Male,07-08-2022,Los Angeles,United States
11091,Dalton,Perez,Dalton Perez,63,Male,29-01-2024,Haney,Canada
11092,Cheryl,Diaz,Cheryl Diaz,53,Female,08-04-2022,East Brisbane,Australia
11093,Aimee,He,Aimee He,47,Female,07-04-2022,Wollongong,Australia
11094,Cedric,Ma,Cedric Ma,58,Male,07-04-2024,Cranbourne,Australia
11095,Chad,Kumar,Chad Kumar,57,Male,01-04-2022,Port Macquarie,Australia
11096,Andrés,Anand,Andrés Anand,57,Male,11-04-2022,North Sydney,Australia
11097,Edwin,Nara,Edwin Nara,53,Male,04-04-2022,Warrnambool,Australia
11098,Mallory,Rubio,Mallory Rubio,59,Female,11-02-2024,Rhodes,Australia
11099,Adam,Ross,Adam Ross,59,Male,07-04-2022,Port Macquarie,Australia
11100,Latasha,Navarro,Latasha Navarro,59,Female,16-04-2022,Cloverdale,Australia
11101,Abby,Sai,Abby Sai,55,Female,29-04-2022,Cranbourne,Australia
11102,Julia,Nelson,Julia Nelson,55,Female,16-07-2024,Sydney,Australia
11103,Cassie,Chande,Cassie Chande,44,Female,15-04-2022,Darlinghurst,Australia
11104,Edgar,Sara,Edgar Sara,50,Male,04-05-2022,Gold Coast,Australia
11105,Candace,Fernandez,Candace Fernandez,55,Female,14-05-2022,Matraville,Australia
11106,Jessie,Liu,Jessie Liu,55,Male,18-05-2022,Warrnambool,Australia
11107,Bianca,Lin,Bianca Lin,49,Female,01-05-2022,St. Leonards,Australia
11108,Kari,Alvarez,Kari Alvarez,56,Female,03-05-2022,Port Macquarie,Australia
11109,Ruben,Kapoor,Ruben Kapoor,45,Male,10-05-2022,South Melbourne,Australia
11110,Curtis,Yang,Curtis Yang,58,Male,01-05-2022,Darlinghurst,Australia
11111,Meredith,Gutierrez,Meredith Gutierrez,58,Female,20-05-2022,Geelong,Australia
11112,Crystal,Wang,Crystal Wang,57,Female,25-05-2022,Hervey Bay,Australia
11113,Micheal,Blanco,Micheal Blanco,52,Male,01-02-2024,Perth,Australia
11114,Leslie,Moreno,Leslie Moreno,58,Female,18-03-2024,Rhodes,Australia
